nanoid,date,timestamp,timestamp_completion,backend,model,agreement,ok,ttft_ms,total_ms,chars,sections,error
Kjxp6dnuHSv334WhMkxH_,2026-05-17,2026-05-17T00:46:42.027Z,2026-05-17T00:47:41.192Z,deepseek,deepseek-v4-flash,saas-msa,true,59164,59164,30513,35,
cP1cgCuQKDTNPujvENkin,2026-05-17,2026-05-17T00:47:41.192Z,2026-05-17T00:48:24.448Z,deepseek,deepseek-v4-flash,exec-employment,true,43256,43256,22105,36,
fj1lU5zQjoS2A4TSs6nnR,2026-05-17,2026-05-17T00:48:24.449Z,2026-05-17T00:49:15.527Z,deepseek,deepseek-v4-flash,commercial-lease,true,51078,51078,22844,36,
vk1XPvp7X6vy2iqHrvweb,2026-05-17,2026-05-17T00:49:15.527Z,2026-05-17T00:50:32.676Z,deepseek,deepseek-v4-flash,asset-purchase,true,77148,77148,40663,36,
3DXnnXvlhGH-ERJYjqLvv,2026-05-17,2026-05-17T00:50:32.676Z,2026-05-17T00:51:38.747Z,deepseek,deepseek-v4-flash,joint-venture,true,66071,66071,33142,36,
1jDFGXBfTWr5DjFJ5u1v2,2026-05-17,2026-05-17T00:51:38.748Z,2026-05-17T00:52:10.298Z,deepseek,deepseek-v4-flash,mutual-nda,true,31550,31550,17875,34,
_-7VTSNVj3Eh1cj3XKD3F,2026-05-17,2026-05-17T00:52:10.298Z,2026-05-17T00:53:01.463Z,deepseek,deepseek-v4-flash,distribution,true,51164,51164,27977,35,
39YHhhvCxh2a5mCosnsEf,2026-05-17,2026-05-17T00:53:01.464Z,2026-05-17T00:53:57.159Z,deepseek,deepseek-v4-flash,supply-msa,true,55695,55695,28876,36,
eRdjp-rTGq12eZMYUNFPC,2026-05-17,2026-05-17T00:53:57.159Z,2026-05-17T00:54:52.941Z,deepseek,deepseek-v4-flash,license-software,true,55781,55781,30357,1,
sKvM1JzFlZiHuVYl9nVPk,2026-05-17,2026-05-17T00:54:52.941Z,2026-05-17T00:55:58.983Z,deepseek,deepseek-v4-flash,patent-license,true,66041,66041,32578,1,
